Title,Author,Year,Download Link,Language
"Serial Offenders: Current Thought, Recent Findings [1 ed.] 9780849322365, 0849322367",Louis B. Schlesinger,2000,https://download.library.lol/main/1254000/418468e08890478384d25323d17bf001/Louis%20B.%20Schlesinger%20-%20Serial%20Offenders_%20Current%20Thought%2C%20Recent%20Findings-CRC%20Press%20%282000%29.djvu,English
Doing Things With Texts - essays in criticism and critical theory [first part],M. H. Abrams,0,https://download.library.lol/main/1452000/f83d2b329a839050cc42178405cbcd1d/M.%20H.%20Abrams%20-%20Doing%20Things%20With%20Texts%20-%20essays%20in%20criticism%20and%20critical%20theory%20%5Bfirst%20part%5D.pdf,English
Text - the genealogy of an antidisciplinary object,John Mowitt,1992,https://download.library.lol/main/1452000/c6eba9a38475bf902d00c7c16496ded9/John%20Mowitt%20-%20Text%20-%20the%20genealogy%20of%20an%20antidisciplinary%20object-Duke%20University%20Press%20%281992%29.pdf,English
Ccru: Writings 1997-2003 [1 ed.],"Ccru, Nick Land",2015,https://download.library.lol/main/1453000/cd527918689c827a376319d428aac4d9/Ccru%2C%20Nick%20Land%20-%20Ccru_%20Writings%201997-2003-Time%20Spiral%20Press%20%282015%29.pdf,English
Ccru - Writings 1997-2003 [1 ed.],"Ccru, Nick Land",2015,https://download.library.lol/main/1453000/6f50d2d9d1ba1440c8ccf1db5460b7c1/Ccru%2C%20Nick%20Land%20-%20Ccru%20-%20Writings%201997-2003-Time%20Spiral%20Press%20%282015%29.epub,English
The Salt-Sea Mastodon: A Reading of Moby-Dick 0-520-02339-0,Robert Zoellner,1973,https://download.library.lol/main/1453000/0e866b466df787e440dc7a8be96c31cb/Robert%20Zoellner%20-%20The%20Salt-Sea%20Mastodon_%20A%20Reading%20of%20Moby-Dick-University%20of%20California%20Press%20%281973%29.pdf,English
So Long a Letter,Mariama Bâ,0,https://download.library.lol/main/1453000/1a80c7aa8a118cd41545018cc71a1876/Mariama%20B%C3%A2%20-%20So%20Long%20a%20Letter.pdf,English
Modanizumu: Modernist Fiction From Japan 1913-1938 978-0-8248-3242-1,William J. Tyler,0,https://download.library.lol/main/1454000/59e0ec2ba62f75a8e4c8720e402afadd/William%20J.%20Tyler%20-%20Modanizumu_%20Modernist%20Fiction%20From%20Japan%201913-1938.pdf,English
Pokemon Black & White Official Guide 9780307890610,Michael G. Ryan,2011,https://download.library.lol/main/1454000/d8ab4c948fa817bd8bd683c0b09233a4/Michael%20G.%20Ryan%20-%20Pokemon%20Black%20%26%20White%20Official%20Guide-The%20Pok%C3%A9mon%20Company%20International%20%282011%29.pdf,English
"Postcolonial Writers in the Global Literary Marketplace [softcover reprint ed.] 9781349353729, 9780230288171",Sarah Brouillette,2007,https://download.library.lol/main/1457000/a50093262b9d10c85fb4a9adf7d8ad78/Sarah%20Brouillette%20-%20Postcolonial%20Writers%20in%20the%20Global%20Literary%20Marketplace-Palgrave%20Macmillan%20%282007%29.pdf,English
